Topic: test-topic-0000000-1000-5FPR4wg  TopicId: GqXYichCSZOEPoLD--xQrA PartitionCount: 1000    ReplicationFactor: 3    Configs: min.insync.replicas=2,retention.ms=86400000,message.format.version=3.0-IV1,unclean.leader.election.enable=true
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 158  Leader: 13      Replicas: 13,11,8       Isr: 13,11,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 159  Leader: 15      Replicas: 15,12,5       Isr: 15,12,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 160  Leader: 14      Replicas: 14,7,6        Isr: 14,7,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 161  Leader: 3       Replicas: 3,1,2 Isr: 3,1,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 162  Leader: 4       Replicas: 4,9,10        Isr: 4,9,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 163  Leader: 8       Replicas: 8,13,11       Isr: 8,13,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 164  Leader: 5       Replicas: 5,15,12       Isr: 5,15,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 165  Leader: 7       Replicas: 7,11,9        Isr: 7,11,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 166  Leader: 1       Replicas: 1,8,5 Isr: 1,8,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 167  Leader: 2       Replicas: 2,3,6 Isr: 2,3,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 168  Leader: 10      Replicas: 10,15,14      Isr: 10,15,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 169  Leader: 4       Replicas: 4,12,13       Isr: 4,12,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 170  Leader: 9       Replicas: 9,7,11        Isr: 9,7,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 171  Leader: 5       Replicas: 5,1,8 Isr: 5,1,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 172  Leader: 6       Replicas: 6,2,3 Isr: 6,2,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 173  Leader: 14      Replicas: 14,10,15      Isr: 14,10,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 174  Leader: 13      Replicas: 13,4,12       Isr: 13,4,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 175  Leader: 11      Replicas: 11,9,7        Isr: 11,9,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 176  Leader: 8       Replicas: 8,5,1 Isr: 8,5,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 177  Leader: 3       Replicas: 3,6,2 Isr: 3,6,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 178  Leader: 15      Replicas: 15,14,10      Isr: 15,14,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 179  Leader: 12      Replicas: 12,13,4       Isr: 12,13,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 180  Leader: 12      Replicas: 12,7,1        Isr: 12,7,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 181  Leader: 3       Replicas: 3,4,8 Isr: 3,4,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 182  Leader: 11      Replicas: 11,9,10       Isr: 11,9,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 183  Leader: 14      Replicas: 14,5,6        Isr: 14,5,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 184  Leader: 13      Replicas: 13,15,2       Isr: 13,15,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 185  Leader: 1       Replicas: 1,12,7        Isr: 1,12,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 186  Leader: 8       Replicas: 8,3,4 Isr: 8,3,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 187  Leader: 10      Replicas: 10,11,9       Isr: 10,11,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 188  Leader: 6       Replicas: 6,14,5        Isr: 6,14,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 189  Leader: 2       Replicas: 2,13,15       Isr: 2,13,15
